title,author,translator,publish_date,pages,ISBN,code,price
포르잔 C++ 에센셜,"Behrouz A. Forouzan , Richard F. Gilberg ",윤인성 ,2020-11-10,756 쪽,9791156645061,4506,"32,000"
"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",김지연 ,,2020-09-28,536 쪽,9791156645054,4505,"28,000"
포르잔 C++ 바이블,"Behrouz A. Forouzan , Richard F. Gilberg ",윤인성 ,2020-08-31,1192 쪽,9791156645030,4503,"45,000"
딥러닝을 위한 선형대수학,Gilbert Strang ,부산대학교 산업수학센터(FFMIMC) ,2020-08-05,560 쪽,9791156644972,4497,"38,000"
"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡 ",,2020-07-30,600 쪽,9791156645023,4502,"29,000"
대학을 버려야 대학이 산다,조동성 외 인천대학교 가족 178명 ,,2020-07-25,216 쪽,9791156645016,4501,"18,000"
"IT CookBook, 따라 하면서 배우는 사물인터넷",양재삼 ,,2020-07-23,448 쪽,9791156644941,4494,"28,000"
R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,"카와하시 잇코 , 이와마 노리카즈 , 스즈키 마사유키 ",권기태 ,2020-07-10,544 쪽,9791156644989,4498,"32,000"
창의적 공학설계(3판),김은경 ,,2020-07-10,408 쪽,9791156644934,4493,"23,000"
공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,함남우 ,,2020-07-06,484 쪽,9791156644996,4499,"23,000"
응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,이건명 ,,2020-07-06,592 쪽,9791156645009,4500,"31,000"
"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",강문식 ,,2020-06-30,504 쪽,9791156644927,4492,"29,000"
"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍","김선우 , 신화선 ",,2020-06-20,772 쪽,9791156644903,4490,"30,000"
"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",정기철 ,,2020-06-19,520 쪽,9791156644958,4495,"27,000"
"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍","우재남 , 유혜림 ",,2020-06-19,564 쪽,9791156644965,4496,"34,000"
"IT CookBook, 처음 만나는 신재생에너지",김지홍 ,,2020-06-10,388 쪽,9791156644859,4485,"25,000"
프리드버그 선형대수학,"스티븐 H. 프리드버그 , 아놀드 J. 인셀 , 로렌스 E. 스펜스 ","한빛수학교재연구소 , 심형보(감수) ",2020-06-05,616 쪽,9791156644910,4491,"35,000"
"IT CookBook, CentOS 리눅스",이종원 ,,2020-05-30,792 쪽,9791156644897,4489,"32,000"
"Microeconomics, 6th Edition, Asia Edition","David Besanko , Ronald Braeutigam ",,2020-05-01,856 쪽,9781119666226,30000,"49,000"
누구나 파이썬 통계분석,타니아이 히로키 ,권기태 ,2020-04-06,384 쪽,9791156644880,4488,"26,000"
제대로 배우는 MATLAB&Simulink,방성완 ,,2020-03-05,576 쪽,9791156644828,4482,"29,000"
공학도를 위한 경영 : 4차 산업혁명 시대,하귀룡 ,,2020-02-28,348 쪽,9791156644866,4486,"25,000"
"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",이종원 ,,2020-02-21,408 쪽,9791156644873,4487,"24,000"
"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",박두순 ,,2020-02-20,508 쪽,9791156644835,4483,"27,000"
(2020) 완벽분석! 사회조사분석사 2급 실기,"노경섭 , 김성일 , 김기만 ",,2020-01-30,384 쪽,9791156644620,4462,"28,000"
"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스 ",송경희 ,2020-01-30,860 쪽,9791156644842,4484,"32,000"
기초수학 : Basic Mathematics(2판),이재원 ,,2020-01-10,312 쪽,9791156644811,4481,"20,000"
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(5판)","우재남 , 박길식 ",,2020-01-08,572 쪽,9791156644804,4480,"29,000"
"IT CookBook, 4차 산업혁명 시대의 정보통신개론",고응남 ,,2020-01-06,600 쪽,9791156644767,4476,"25,000"
"IT CookBook, C 언어 일취월장",신윤환 ,,2020-01-06,808 쪽,9791156644774,4477,"28,000"
"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",이영주 ,,2020-01-06,552 쪽,9791156644750,4475,"27,000"
"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",이영주 ,,2020-01-06,560 쪽,9791156644651,4465,"28,000"
"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용","한정수 , 김귀정 ",,2020-01-06,336 쪽,9791156644781,4478,"24,000"
"IT CookBook, 리눅스 실습 for Beginner",우재남 ,,2020-01-06,488 쪽,9791156644705,4470,"24,000"
"IT CookBook, 비주얼 베이직 2019 입문",임관철 ,,2020-01-06,436 쪽,9791156644699,4469,"25,000"
"IT CookBook, 스크래치로 배우는 컴퓨팅 사고","조성호 , 고광일 ",,2020-01-06,384 쪽,9791156644798,4479,"21,000"
"IT CookBook, 엑셀로 배우는 데이터 분석",박주미 ,,2020-01-06,480 쪽,9791156644682,4468,"21,000"
"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",조성호 ,,2020-01-06,538 쪽,9791156644675,4467,"26,000"
"IT CookBook, 파이썬 for Beginner(2판)",우재남 ,,2020-01-06,504 쪽,9791156644668,4466,"23,000"
NO BULLSHIT 선형대수학 가이드,Ivan Savov ,"김대정 , 모현선 , 배준우 ",2020-01-06,628 쪽,9791156644729,4472,"28,000"
NO BULLSHIT 수학&물리 가이드,Ivan Savov ,권기영 ,2020-01-06,568 쪽,9791156644644,4464,"28,000"
정보교과교육론(2판),"이태욱 , 최현종 , 전용주 ",,2020-01-06,464 쪽,9791156644743,4474,"27,000"
실무로 완성하는 PLC(멜섹Q) : 서보를 이용한 위치 제어,정완보 ,,2020-01-02,568 쪽,9791156644736,4473,"28,000"
"College Physics, 5th Edition",Alan Giambattista ,,2020-01-01,1232 쪽,9781260547719,8999,"45,000"
Stata로 끝내는 논문,정규형 ,,2019-12-09,372 쪽,9791156644712,4471,"25,000"
"Business Statistics: For Contemporary Decision Making, 10th Edition, Asia Edition",Ken Black ,,2019-12-01,832 쪽,9781119668220,30001,"49,000"
(2020) 완벽분석! 사회조사분석사 2급 필기,"노경섭 , 김성일 , 김기만 ",,2019-11-20,588 쪽,9791156644613,4461,"30,000"
"IT CookBook, 유닉스 이론과 실습(3판)","이종원 , 윤소정 ",,2019-11-13,568 쪽,9791156644637,4463,"25,000"
"IT CookBook, 경영경제통계학",유영태 ,,2019-10-18,472 쪽,9791156644606,4460,"28,000"
"Swedu, 정보적 사고에서 인공 지능까지",김현철 ,,2019-09-28,184 쪽,9791156644545,4454,"19,000"
"IT CookBook, 문제 해결력을 키우는 디자인 씽킹","송태란 , 이정현 ",,2019-09-10,300 쪽,9791156644583,4458,"22,000"
"IT CookBook, 모두를 위한 R 데이터 분석 입문",오세종 ,,2019-08-24,480 쪽,9791156644590,4459,"26,000"
"IT CookBook, 최신 컴퓨터 구조","임석구 , 홍경호 ",,2019-08-17,616 쪽,9791156644569,4456,"28,000"
"IT CookBook , MySQL로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 , 이현룡 ",,2019-08-15,572 쪽,9791156644576,4457,"27,000"
"IT CookBook, HTML5 웹 프로그래밍 입문(3판)",윤인성 ,,2019-07-20,488 쪽,9791156644552,4455,"26,000"
