,구별,소계,2011년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,최근증가율
0,강남구,5221,1944.0,195.0,316.0,430,546.0,765.0,577.0,448.0,52.17137860682017
1,강동구,1879,303.0,387.0,134.0,59,144.0,194.0,273.0,385.0,82.96007789678676
2,강북구,1265,243.0,88.0,141.0,74,145.0,254.0,1.0,319.0,83.06801736613603
3,강서구,1617,219.0,155.0,118.0,230,187.0,190.0,264.0,254.0,77.88778877887789
4,관악구,3985,430.0,56.0,419.0,487,609.0,619.0,694.0,671.0,99.1504247876062
5,광진구,1581,470.0,42.0,83.0,87,64.0,21.0,468.0,346.0,111.93029490616621
6,구로구,3227,852.0,219.0,349.0,187,268.0,326.0,540.0,486.0,72.10666666666667
7,금천구,1634,27.0,17.0,242.0,101,382.0,136.0,199.0,530.0,112.48374512353708
8,노원구,1906,481.0,117.0,203.0,80,461.0,298.0,110.0,156.0,42.026825633383005
9,도봉구,858,197.0,66.0,8.0,185,59.0,155.0,117.0,71.0,66.60194174757281
10,동대문구,2003,0.0,0.0,0.0,1326,111.0,233.0,136.0,197.0,39.38761308281141
11,동작구,1780,238.0,93.0,29.0,503,130.0,254.0,278.0,255.0,79.25478348439073
12,마포구,1935,585.0,108.0,69.0,70,177.0,359.0,372.0,195.0,91.77403369672945
13,서대문구,2121,565.0,233.0,214.0,114,109.0,277.0,415.0,194.0,71.7408906882591
14,서초구,2835,1172.0,91.0,228.0,134,215.0,352.0,247.0,396.0,54.07608695652174
15,성동구,2679,665.0,109.0,118.0,101,258.0,201.0,933.0,294.0,114.14868105515588
16,성북구,3003,779.0,84.0,304.0,241,279.0,388.0,285.0,643.0,78.00829875518673
17,송파구,1586,600.0,99.0,88.0,21,166.0,100.0,116.0,396.0,62.83367556468173
18,양천구,2775,772.0,161.0,185.0,169,172.0,349.0,137.0,830.0,90.19876627827279
19,영등포구,2495,132.0,121.0,206.0,217,366.0,289.0,371.0,793.0,139.44337811900192
20,용산구,2063,1279.0,152.0,201.0,107,102.0,89.0,60.0,73.0,12.058663769690385
21,은평구,2962,1365.0,83.0,99.0,343,180.0,296.0,229.0,367.0,43.091787439613526
22,종로구,1471,8.0,7.0,599.0,132,195.0,148.0,281.0,101.0,56.323060573857596
23,중구,1544,25.0,165.0,114.0,80,245.0,270.0,317.0,328.0,145.4689984101749
24,중랑구,1068,0.0,0.0,0.0,770,102.0,121.0,66.0,9.0,22.477064220183486
